"#","Germplasm","Species","Pit_Lh","Dataset"
"132","FR29T077","Prunus avium","10.38","Sweet_cherry_CRS_phenotyping_2011"
"133","FR29T077","Prunus avium","10.39","Sweet_cherry_CRS_phenotyping_2012"
"134","FR10T098","Prunus avium","9.82","Sweet_cherry_CRS_phenotyping_2012"
"135","FR10T099","Prunus avium","12.38","Sweet_cherry_CRS_phenotyping_2011"
"136","FR10T099","Prunus avium","12.41","Sweet_cherry_CRS_phenotyping_2012"
"137","FR10T101","Prunus avium","11.89","Sweet_cherry_CRS_phenotyping_2012"
"138","FR10T101","Prunus avium","12.35","Sweet_cherry_CRS_phenotyping_2011"
"139","FR11T015","Prunus avium","9.4","Sweet_cherry_CRS_phenotyping_2010"
"140","FR11T015","Prunus avium","10","Sweet_cherry_CRS_phenotyping_2012"
"141","FR11T015","Prunus avium","10.72","Sweet_cherry_CRS_phenotyping_2011"
"142","FR11T016","Prunus avium","10.51","Sweet_cherry_CRS_phenotyping_2012"
"143","FR11T016","Prunus avium","11.73","Sweet_cherry_CRS_phenotyping_2011"
"144","FR11T017","Prunus avium","10.51","Sweet_cherry_CRS_phenotyping_2010"
"145","FR11T017","Prunus avium","11.5","Sweet_cherry_CRS_phenotyping_2011"
"146","FR11T017","Prunus avium","11.57","Sweet_cherry_CRS_phenotyping_2012"
"147","FR11T018","Prunus avium","10.02","Sweet_cherry_CRS_phenotyping_2012"
"148","FR11T018","Prunus avium","10.51","Sweet_cherry_CRS_phenotyping_2010"
"149","FR11T019","Prunus avium","9.92","Sweet_cherry_CRS_phenotyping_2012"
"150","FR11T019","Prunus avium","10.73","Sweet_cherry_CRS_phenotyping_2011"
"151","FR11T025","Prunus avium","10.3","Sweet_cherry_CRS_phenotyping_2010"
"152","FR11T025","Prunus avium","10.59","Sweet_cherry_CRS_phenotyping_2012"
"153","FR11T025","Prunus avium","11.03","Sweet_cherry_CRS_phenotyping_2011"
"154","FR11T026","Prunus avium","10.06","Sweet_cherry_CRS_phenotyping_2012"
"155","FR11T027","Prunus avium","11.52","Sweet_cherry_CRS_phenotyping_2010"
"156","FR11T027","Prunus avium","11.79","Sweet_cherry_CRS_phenotyping_2012"
"157","FR11T027","Prunus avium","12.34","Sweet_cherry_CRS_phenotyping_2011"
"158","FR11T028","Prunus avium","9.77","Sweet_cherry_CRS_phenotyping_2010"
"159","FR11T028","Prunus avium","10.91","Sweet_cherry_CRS_phenotyping_2011"
"160","FR11T028","Prunus avium","11.05","Sweet_cherry_CRS_phenotyping_2012"
"161","FR11T029","Prunus avium","10.62","Sweet_cherry_CRS_phenotyping_2012"
"162","FR11T029","Prunus avium","10.7","Sweet_cherry_CRS_phenotyping_2011"
"163","FR11T029","Prunus avium","11.33","Sweet_cherry_CRS_phenotyping_2010"
"164","FR11T030","Prunus avium","10.42","Sweet_cherry_CRS_phenotyping_2010"
