"#","Germplasm","Species","SSC","Dataset"
"281","FR1T029","Prunus avium","22.95","Sweet_cherry_CRS_phenotyping_2010"
"282","FR1T030","Prunus avium","18.26","Sweet_cherry_CRS_phenotyping_2010"
"283","FR1T030","Prunus avium","20.67","Sweet_cherry_CRS_phenotyping_2011"
"284","FR1T030","Prunus avium","21.44","Sweet_cherry_CRS_phenotyping_2012"
"285","FR1T031","Prunus avium","21.03","Sweet_cherry_CRS_phenotyping_2011"
"286","FR1T031","Prunus avium","23.4","Sweet_cherry_CRS_phenotyping_2010"
"287","FR1T031","Prunus avium","26.12","Sweet_cherry_CRS_phenotyping_2012"
"288","FR1T032","Prunus avium","17.4","Sweet_cherry_CRS_phenotyping_2010"
"289","FR1T032","Prunus avium","18.96","Sweet_cherry_CRS_phenotyping_2012"
"290","FR1T032","Prunus avium","24","Sweet_cherry_CRS_phenotyping_2011"
"291","FR1T033","Prunus avium","18.96","Sweet_cherry_CRS_phenotyping_2010"
"292","FR1T033","Prunus avium","19.5","Sweet_cherry_CRS_phenotyping_2011"
"293","FR1T033","Prunus avium","21.02","Sweet_cherry_CRS_phenotyping_2012"
"294","FR1T037","Prunus avium","17.97","Sweet_cherry_CRS_phenotyping_2011"
"295","FR1T037","Prunus avium","18.27","Sweet_cherry_CRS_phenotyping_2010"
"296","FR1T037","Prunus avium","20.9","Sweet_cherry_CRS_phenotyping_2012"
"297","FR1T038","Prunus avium","16.9","Sweet_cherry_CRS_phenotyping_2011"
"298","FR1T038","Prunus avium","17.1","Sweet_cherry_CRS_phenotyping_2010"
"299","FR1T038","Prunus avium","21.08","Sweet_cherry_CRS_phenotyping_2012"
"300","FR1T039","Prunus avium","21.03","Sweet_cherry_CRS_phenotyping_2010"
"301","FR1T039","Prunus avium","21.37","Sweet_cherry_CRS_phenotyping_2011"
"302","FR1T039","Prunus avium","21.38","Sweet_cherry_CRS_phenotyping_2012"
"303","FR1T040","Prunus avium","19.67","Sweet_cherry_CRS_phenotyping_2010"
"304","FR1T040","Prunus avium","20.4","Sweet_cherry_CRS_phenotyping_2012"
"305","FR1T040","Prunus avium","20.9","Sweet_cherry_CRS_phenotyping_2011"
"306","FR1T041","Prunus avium","22.76","Sweet_cherry_CRS_phenotyping_2012"
"307","FR1T041","Prunus avium","24.45","Sweet_cherry_CRS_phenotyping_2011"
"308","FR1T041","Prunus avium","28.4","Sweet_cherry_CRS_phenotyping_2010"
"309","FR1T042","Prunus avium","21.94","Sweet_cherry_CRS_phenotyping_2012"
"310","FR1T042","Prunus avium","25.2","Sweet_cherry_CRS_phenotyping_2010"
"311","FR1T054","Prunus avium","22.54","Sweet_cherry_CRS_phenotyping_2012"
"312","FR1T054","Prunus avium","24.03","Sweet_cherry_CRS_phenotyping_2011"
"313","FR1T054","Prunus avium","25.7","Sweet_cherry_CRS_phenotyping_2010"
"314","FR1T056","Prunus avium","19.6","Sweet_cherry_CRS_phenotyping_2011"
"315","FR1T056","Prunus avium","19.65","Sweet_cherry_CRS_phenotyping_2010"
"316","FR1T056","Prunus avium","19.86","Sweet_cherry_CRS_phenotyping_2012"
"317","FR1T065","Prunus avium","18.3","Sweet_cherry_CRS_phenotyping_2010"
"318","FR1T065","Prunus avium","18.37","Sweet_cherry_CRS_phenotyping_2011"
"319","FR1T065","Prunus avium","20.32","Sweet_cherry_CRS_phenotyping_2012"
"320","FR1T073","Prunus avium","20.25","Sweet_cherry_CRS_phenotyping_2011"
"321","FR1T073","Prunus avium","20.38","Sweet_cherry_CRS_phenotyping_2012"
"322","FR1T073","Prunus avium","23.58","Sweet_cherry_CRS_phenotyping_2010"
"323","FR21T037","Prunus avium","21.94","Sweet_cherry_CRS_phenotyping_2012"
"324","FR21T063","Prunus avium","20.78","Sweet_cherry_CRS_phenotyping_2012"
"325","FR22T001","Prunus avium","20.52","Sweet_cherry_CRS_phenotyping_2012"
