"Country","Institute","Site","Latitude","Longitude","Altitude","Plantation","Year","Cultivar","  Clone  ","Rootstock","Beginning of flowering (date)","Full Flowering (date)","End of flowering (date)","Beginning of Maturity (date)","Beginning of flowering","Full Flowering","End of flowering","Beginning of Maturity","Flowering duration"
"France","Ctifl","Balandran","43.76","4.46",52,1983,1990,"Tragana d'Edessa","V2402",,,25/3,2/4,8/6,,83,91,158,
"France","Ctifl","Balandran","43.76","4.46",52,1983,1994,"Tragana d'Edessa","V2402",,,,30/3,,,,88,,
"France","Ctifl","Balandran","43.76","4.46",52,1984,1987,"Celeste Sumpaca","V2413",,,14/4,18/4,15/6,,103,107,165,
"France","Ctifl","Balandran","43.76","4.46",52,1984,1987,"Giorgia","V2396",,,19/4,,15/6,,108,,165,
"France","Ctifl","Balandran","43.76","4.46",52,1984,1989,"Giorgia","V2396",,,2/4,,29/5,,91,,148,
"France","Ctifl","Balandran","43.76","4.46",52,1984,1987,"Hedelfingen","V1877",,,,,10/7,,,,190,
"France","Ctifl","Balandran","43.76","4.46",52,1984,1989,"Hedelfingen","V1877",,,7/4,,21/6,,96,,171,
"France","Ctifl","Balandran","43.76","4.46",52,1984,1987,"Napoleon","V1884",,,,,24/6,,,,174,
"France","Ctifl","Balandran","43.76","4.46",52,1984,1987,"Reverchon","V1737",,,23/4,,26/6,,112,,176,
"France","Ctifl","Balandran","43.76","4.46",52,1984,1987,"Reverchon","V1814",,,,,27/6,,,,177,
"France","Ctifl","Balandran","43.76","4.46",52,1984,1989,"Reverchon","V1814",,,6/4,,21/6,,95,,171,
"France","Ctifl","Balandran","43.76","4.46",52,1984,1987,"Sam","V1264",,,20/4,,,,109,,,
"France","Ctifl","Balandran","43.76","4.46",52,1984,1989,"Sam","V1264",,,4/4,,7/6,,93,,157,
"France","Ctifl","Balandran","43.76","4.46",52,1984,1987,"Stark Hardy Giant","V1927",,,13/4,17/4,22/6,,102,106,172,
"France","Ctifl","Balandran","43.76","4.46",52,1984,1989,"Stark Hardy Giant","V1927",,,28/3,,7/6,,86,,157,
"France","Ctifl","Balandran","43.76","4.46",52,1984,1987,"Ulster","V1629",,,19/4,,24/6,,108,,174,
