"#","Germplasm","Species","Pull_Force","Dataset"
"177","FR12T009","Prunus avium","1165.5","Sweet_cherry_CRS_phenotyping_2011"
"178","FR12T011","Prunus avium","569","Sweet_cherry_CRS_phenotyping_2012"
"179","FR12T012","Prunus avium","420.1","Sweet_cherry_CRS_phenotyping_2011"
"180","FR12T012","Prunus avium","828","Sweet_cherry_CRS_phenotyping_2012"
"181","FR12T056","Prunus avium","578.2","Sweet_cherry_CRS_phenotyping_2011"
"182","FR12T056","Prunus avium","734.2","Sweet_cherry_CRS_phenotyping_2012"
"183","FR12T057","Prunus avium","668.9","Sweet_cherry_CRS_phenotyping_2012"
"184","FR12T058","Prunus avium","664.9","Sweet_cherry_CRS_phenotyping_2011"
"185","FR12T058","Prunus avium","1038.1","Sweet_cherry_CRS_phenotyping_2012"
"186","FR12T063","Prunus avium","489.5","Sweet_cherry_CRS_phenotyping_2011"
"187","FR12T063","Prunus avium","640.4","Sweet_cherry_CRS_phenotyping_2012"
"188","FR12T066","Prunus avium","626.1","Sweet_cherry_CRS_phenotyping_2012"
"189","FR12T066","Prunus avium","648.5","Sweet_cherry_CRS_phenotyping_2011"
"190","FR12T067","Prunus avium","751.5","Sweet_cherry_CRS_phenotyping_2012"
"191","FR12T067","Prunus avium","849.4","Sweet_cherry_CRS_phenotyping_2011"
"192","FR12T068","Prunus avium","591.4","Sweet_cherry_CRS_phenotyping_2012"
"193","FR12T068","Prunus avium","667.9","Sweet_cherry_CRS_phenotyping_2011"
"194","FR12T069","Prunus avium","603.7","Sweet_cherry_CRS_phenotyping_2012"
"195","FR12T071","Prunus avium","476.2","Sweet_cherry_CRS_phenotyping_2011"
"196","FR12T071","Prunus avium","694.4","Sweet_cherry_CRS_phenotyping_2012"
"197","FR12T072","Prunus avium","448.7","Sweet_cherry_CRS_phenotyping_2011"
"198","FR12T072","Prunus avium","619","Sweet_cherry_CRS_phenotyping_2012"
"199","FR12T073","Prunus avium","572.1","Sweet_cherry_CRS_phenotyping_2012"
