"#","Germplasm","Species","Stem_length","Dataset"
"173","FR1T073","Prunus avium","46.19","Sweet_cherry_CRS_phenotyping_2010"
"174","FR1T073","Prunus avium","47.05","Sweet_cherry_CRS_phenotyping_2011"
"175","FR22T002","Prunus avium","43.74","Sweet_cherry_CRS_phenotyping_2011"
"176","FR22T004","Prunus avium","49.86","Sweet_cherry_CRS_phenotyping_2011"
"177","FR23T090","Prunus avium","35.68","Sweet_cherry_CRS_phenotyping_2011"
"178","FR23T119","Prunus avium","39.32","Sweet_cherry_CRS_phenotyping_2011"
"179","FR23T120","Prunus avium","30.86","Sweet_cherry_CRS_phenotyping_2011"
"180","FR23T129","Prunus avium","37.63","Sweet_cherry_CRS_phenotyping_2011"
"181","FR23T130","Prunus avium","47.42","Sweet_cherry_CRS_phenotyping_2011"
"182","FR23T131","Prunus avium","29.59","Sweet_cherry_CRS_phenotyping_2011"
"183","FR24T077","Prunus avium","41.01","Sweet_cherry_CRS_phenotyping_2011"
"184","FR25T081","Prunus avium","34.05","Sweet_cherry_CRS_phenotyping_2011"
"185","FR25T090","Prunus avium","33.99","Sweet_cherry_CRS_phenotyping_2011"
"186","FR26T033","Prunus avium","41.41","Sweet_cherry_CRS_phenotyping_2011"
"187","FR26T034","Prunus avium","43.82","Sweet_cherry_CRS_phenotyping_2011"
"188","FR26T036","Prunus avium","42.61","Sweet_cherry_CRS_phenotyping_2011"
"189","FR26T037","Prunus avium","39.4","Sweet_cherry_CRS_phenotyping_2011"
"190","FR26T038","Prunus avium","44.14","Sweet_cherry_CRS_phenotyping_2011"
"191","FR27T001","Prunus avium","40.11","Sweet_cherry_CRS_phenotyping_2011"
"192","FR27T009","Prunus avium","40.93","Sweet_cherry_CRS_phenotyping_2011"
"193","FR27T012","Prunus avium","27.25","Sweet_cherry_CRS_phenotyping_2011"
"194","FR27T013","Prunus avium","31.73","Sweet_cherry_CRS_phenotyping_2011"
"195","FR27T014","Prunus avium","36.35","Sweet_cherry_CRS_phenotyping_2011"
"196","FR27T015","Prunus avium","30.52","Sweet_cherry_CRS_phenotyping_2011"
"197","FR27T052","Prunus avium","33.64","Sweet_cherry_CRS_phenotyping_2011"
"198","FR27T053","Prunus avium","41.5","Sweet_cherry_CRS_phenotyping_2011"
