"#","Germplasm","Species","Perc_Pitting","Dataset"
"165","PC 9816-059","Prunus avium","0","Sweet_cherry_CRS_phenotyping_2010"
"166","PC 9816-083","Prunus avium","0","Sweet_cherry_CRS_phenotyping_2010"
"167","PC 9816-103","Prunus avium","28","Sweet_cherry_CRS_phenotyping_2010"
"168","PC 9816-105","Prunus avium","0","Sweet_cherry_CRS_phenotyping_2010"
"169","PC 9816-106","Prunus avium","0","Sweet_cherry_CRS_phenotyping_2010"
"170","PC 9816-078","Prunus avium","16","Sweet_cherry_CRS_phenotyping_2010"
"171","PC 9819-005","Prunus avium","0","Sweet_cherry_CRS_phenotyping_2010"
"172","PC 9819-038","Prunus avium","0","Sweet_cherry_CRS_phenotyping_2010"
"173","PC 9814-025","Prunus avium","0","Sweet_cherry_CRS_phenotyping_2010"
"174","PC 9814-103","Prunus avium","0","Sweet_cherry_CRS_phenotyping_2010"
"175","PC 9814-105","Prunus avium","16","Sweet_cherry_CRS_phenotyping_2010"
"176","PC 9814-028","Prunus avium","44.44","Sweet_cherry_CRS_phenotyping_2010"
"177","PC 9814-062","Prunus avium","61.11","Sweet_cherry_CRS_phenotyping_2010"
"178","PC 9814-063","Prunus avium","0","Sweet_cherry_CRS_phenotyping_2010"
"179","PC 9814-071","Prunus avium","20","Sweet_cherry_CRS_phenotyping_2010"
"180","PC 9814-076","Prunus avium","0","Sweet_cherry_CRS_phenotyping_2010"
"181","PC 9819-034","Prunus avium","0","Sweet_cherry_CRS_phenotyping_2010"
"182","Unk10-Sdlg","Prunus avium","10","Sweet_cherry_CRS_phenotyping_2011"
"183","Unk11-Sdlg","Prunus avium","6.67","Sweet_cherry_CRS_phenotyping_2011"
"184","Unk14-Sdlg","Prunus avium","0","Sweet_cherry_CRS_phenotyping_2011"
"185","Unk15-Sdlg","Prunus avium","0","Sweet_cherry_CRS_phenotyping_2010"
"186","Unk15-Sdlg","Prunus avium","8","Sweet_cherry_CRS_phenotyping_2011"
"187","Unk17-Sdlg","Prunus avium","0","Sweet_cherry_CRS_phenotyping_2010"
"188","Unk20-Sdlg","Prunus avium","100","Sweet_cherry_CRS_phenotyping_2011"
"189","Black Republican","Prunus avium","7.69","Sweet_cherry_CRS_phenotyping_2011"
"190","Moreau","Prunus avium","55.56","Sweet_cherry_CRS_phenotyping_2011"
"191","Index","Prunus avium","4","Sweet_cherry_CRS_phenotyping_2010"
"192","Sunburst","Prunus avium","16.67","Sweet_cherry_CRS_phenotyping_2011"
