"#","Germplasm","Species","Fruit_Shape","Dataset"
"172","FR12T073","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2012"
"173","FR12T074","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2012"
"174","FR12T076","Prunus avium","2.7","Sweet_cherry_CRS_phenotyping_2011"
"175","FR12T076","Prunus avium","3","Sweet_cherry_CRS_phenotyping_2012"
"176","FR12T077","Prunus avium","2.4","Sweet_cherry_CRS_phenotyping_2011"
"177","FR12T077","Prunus avium","3","Sweet_cherry_CRS_phenotyping_2012"
"178","FR12T080","Prunus avium","2","Sweet_cherry_CRS_phenotyping_2011"
"179","FR12T080","Prunus avium","3","Sweet_cherry_CRS_phenotyping_2012"
"180","FR12T091","Prunus avium","2","Sweet_cherry_CRS_phenotyping_2011"
"181","FR12T091","Prunus avium","4.4","Sweet_cherry_CRS_phenotyping_2012"
"182","FR12T093","Prunus avium","2","Sweet_cherry_CRS_phenotyping_2011"
"183","FR12T093","Prunus avium","2","Sweet_cherry_CRS_phenotyping_2012"
"184","FR12T094","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2012"
"185","FR14T056","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2011"
"186","FR14T056","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2012"
"187","FR14T057","Prunus avium","3","Sweet_cherry_CRS_phenotyping_2011"
"188","FR14T057","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2012"
"189","FR14T060","Prunus avium","2","Sweet_cherry_CRS_phenotyping_2012"
"190","FR14T060","Prunus avium","2.8","Sweet_cherry_CRS_phenotyping_2011"
"191","FR14T075","Prunus avium","3","Sweet_cherry_CRS_phenotyping_2011"
"192","FR14T075","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2012"
"193","FR14T076","Prunus avium","2","Sweet_cherry_CRS_phenotyping_2012"
"194","FR14T076","Prunus avium","4.6","Sweet_cherry_CRS_phenotyping_2011"
"195","FR14T078","Prunus avium","3","Sweet_cherry_CRS_phenotyping_2011"
"196","FR14T078","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2012"
"197","FR14T079","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2011"
"198","FR14T079","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2012"
"199","FR14T080","Prunus avium","2","Sweet_cherry_CRS_phenotyping_2011"
"200","FR14T080","Prunus avium","3.8","Sweet_cherry_CRS_phenotyping_2012"
"201","FR14T081","Prunus avium","2","Sweet_cherry_CRS_phenotyping_2012"
"202","FR14T081","Prunus avium","3.8","Sweet_cherry_CRS_phenotyping_2011"
"203","FR14T082","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2011"
"204","FR14T082","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2012"
"205","FR14T084","Prunus avium","4.4","Sweet_cherry_CRS_phenotyping_2011"
"206","FR14T084","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2012"
"207","FR14T086","Prunus avium","2","Sweet_cherry_CRS_phenotyping_2012"
"208","FR14T086","Prunus avium","3","Sweet_cherry_CRS_phenotyping_2011"
"209","FR16T001","Prunus avium","3","Sweet_cherry_CRS_phenotyping_2012"
"210","FR16T024","Prunus avium","2.8","Sweet_cherry_CRS_phenotyping_2011"
"211","FR16T024","Prunus avium","3.2","Sweet_cherry_CRS_phenotyping_2012"
"212","FR16T040","Prunus avium","4.3","Sweet_cherry_CRS_phenotyping_2012"
"213","FR16T041","Prunus avium","3","Sweet_cherry_CRS_phenotyping_2012"
"214","FR17T006","Prunus avium","3","Sweet_cherry_CRS_phenotyping_2011"
"215","FR17T006","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2012"
"216","FR17T051","Prunus avium","3","Sweet_cherry_CRS_phenotyping_2011"
"217","FR17T062","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2012"
"218","FR18T017","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2011"
"219","FR18T017","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2012"
"220","FR18T018","Prunus avium","2.6","Sweet_cherry_CRS_phenotyping_2011"
