"#","Germplasm","Species","Bulked_Fruit_SSC","Dataset"
"195","FR3T023","Prunus avium","18","Sweet_cherry_CRS_phenotyping_2011"
"196","FR3T025","Prunus avium","18.5","Sweet_cherry_CRS_phenotyping_2011"
"197","FR3T025","Prunus avium","25.2","Sweet_cherry_CRS_phenotyping_2010"
"198","FR3T029","Prunus avium","18.3","Sweet_cherry_CRS_phenotyping_2011"
"199","FR3T029","Prunus avium","18.6","Sweet_cherry_CRS_phenotyping_2010"
"200","FR3T030","Prunus avium","16.8","Sweet_cherry_CRS_phenotyping_2011"
"201","FR3T031","Prunus avium","18.9","Sweet_cherry_CRS_phenotyping_2011"
"202","FR3T032","Prunus avium","15.1","Sweet_cherry_CRS_phenotyping_2011"
"203","FR3T033","Prunus avium","19.7","Sweet_cherry_CRS_phenotyping_2011"
"204","FR3T034","Prunus avium","18.2","Sweet_cherry_CRS_phenotyping_2011"
"205","FR3T043","Prunus avium","18","Sweet_cherry_CRS_phenotyping_2011"
"206","FR3T043","Prunus avium","20.1","Sweet_cherry_CRS_phenotyping_2010"
"207","FR3T044","Prunus avium","22.2","Sweet_cherry_CRS_phenotyping_2011"
"208","FR3T046","Prunus avium","15.9","Sweet_cherry_CRS_phenotyping_2011"
"209","FR3T047","Prunus avium","18.2","Sweet_cherry_CRS_phenotyping_2011"
"210","FR3T050","Prunus avium","17.6","Sweet_cherry_CRS_phenotyping_2011"
"211","FR3T050","Prunus avium","24.5","Sweet_cherry_CRS_phenotyping_2010"
"212","FR3T056","Prunus avium","26.9","Sweet_cherry_CRS_phenotyping_2010"
"213","FR3T057","Prunus avium","21.9","Sweet_cherry_CRS_phenotyping_2010"
"214","FR3T058","Prunus avium","17.9","Sweet_cherry_CRS_phenotyping_2011"
"215","FR42T001","Prunus avium","19.6","Sweet_cherry_CRS_phenotyping_2011"
"216","FR5T021","Prunus avium","20.4","Sweet_cherry_CRS_phenotyping_2010"
"217","FR5T025","Prunus avium","16.3","Sweet_cherry_CRS_phenotyping_2011"
"218","FR8T002","Prunus avium","19.9","Sweet_cherry_CRS_phenotyping_2011"
"219","FR8T003","Prunus avium","21.9","Sweet_cherry_CRS_phenotyping_2011"
