"#","Germplasm","Species","Harvest_Date","Dataset"
"271","FR1T038","Prunus avium","7/21/2011","Sweet_cherry_CRS_phenotyping_2011"
"272","FR1T039","Prunus avium","7/18/2012","Sweet_cherry_CRS_phenotyping_2012"
"273","FR1T039","Prunus avium","7/20/2010","Sweet_cherry_CRS_phenotyping_2010"
"274","FR1T039","Prunus avium","7/20/2011","Sweet_cherry_CRS_phenotyping_2011"
"275","FR1T040","Prunus avium","7/18/2012","Sweet_cherry_CRS_phenotyping_2012"
"276","FR1T040","Prunus avium","7/20/2010","Sweet_cherry_CRS_phenotyping_2010"
"277","FR1T040","Prunus avium","7/20/2011","Sweet_cherry_CRS_phenotyping_2011"
"278","FR1T041","Prunus avium","7/18/2012","Sweet_cherry_CRS_phenotyping_2012"
"279","FR1T041","Prunus avium","7/20/2010","Sweet_cherry_CRS_phenotyping_2010"
"280","FR1T041","Prunus avium","7/20/2011","Sweet_cherry_CRS_phenotyping_2011"
"281","FR1T042","Prunus avium","7/16/2012","Sweet_cherry_CRS_phenotyping_2012"
"282","FR1T042","Prunus avium","7/20/2010","Sweet_cherry_CRS_phenotyping_2010"
"283","FR1T042","Prunus avium","7/21/2011","Sweet_cherry_CRS_phenotyping_2011"
"284","FR1T054","Prunus avium","7/18/2010","Sweet_cherry_CRS_phenotyping_2010"
"285","FR1T054","Prunus avium","7/18/2012","Sweet_cherry_CRS_phenotyping_2012"
"286","FR1T054","Prunus avium","7/21/2011","Sweet_cherry_CRS_phenotyping_2011"
"287","FR1T056","Prunus avium","7/11/2010","Sweet_cherry_CRS_phenotyping_2010"
"288","FR1T056","Prunus avium","7/11/2012","Sweet_cherry_CRS_phenotyping_2012"
"289","FR1T056","Prunus avium","7/14/2011","Sweet_cherry_CRS_phenotyping_2011"
"290","FR1T065","Prunus avium","7/11/2010","Sweet_cherry_CRS_phenotyping_2010"
"291","FR1T065","Prunus avium","7/11/2012","Sweet_cherry_CRS_phenotyping_2012"
"292","FR1T065","Prunus avium","7/18/2011","Sweet_cherry_CRS_phenotyping_2011"
"293","FR1T073","Prunus avium","7/18/2010","Sweet_cherry_CRS_phenotyping_2010"
"294","FR1T073","Prunus avium","7/21/2011","Sweet_cherry_CRS_phenotyping_2011"
"295","FR21T037","Prunus avium","6/30/2012","Sweet_cherry_CRS_phenotyping_2012"
"296","FR21T063","Prunus avium","7/3/2012","Sweet_cherry_CRS_phenotyping_2012"
"297","FR22T001","Prunus avium","7/3/2012","Sweet_cherry_CRS_phenotyping_2012"
"298","FR22T002","Prunus avium","7/9/2011","Sweet_cherry_CRS_phenotyping_2011"
"299","FR22T002","Prunus avium","7/9/2012","Sweet_cherry_CRS_phenotyping_2012"
"300","FR22T003","Prunus avium","7/3/2012","Sweet_cherry_CRS_phenotyping_2012"
"301","FR22T006","Prunus avium","7/3/2012","Sweet_cherry_CRS_phenotyping_2012"
"302","FR22T007","Prunus avium","7/3/2012","Sweet_cherry_CRS_phenotyping_2012"
"303","FR23T065","Prunus avium","7/3/2012","Sweet_cherry_CRS_phenotyping_2012"
"304","FR23T067","Prunus avium","6/22/2012","Sweet_cherry_CRS_phenotyping_2012"
"305","FR23T068","Prunus avium","6/22/2012","Sweet_cherry_CRS_phenotyping_2012"
"306","FR23T069","Prunus avium","6/22/2012","Sweet_cherry_CRS_phenotyping_2012"
"307","FR23T072","Prunus avium","6/22/2012","Sweet_cherry_CRS_phenotyping_2012"
"308","FR23T089","Prunus avium","6/22/2012","Sweet_cherry_CRS_phenotyping_2012"
"309","FR23T090","Prunus avium","6/22/2012","Sweet_cherry_CRS_phenotyping_2012"
"310","FR23T090","Prunus avium","6/29/2011","Sweet_cherry_CRS_phenotyping_2011"
"311","FR23T091","Prunus avium","6/22/2012","Sweet_cherry_CRS_phenotyping_2012"
"312","FR23T095","Prunus avium","7/3/2012","Sweet_cherry_CRS_phenotyping_2012"
"313","FR23T113","Prunus avium","6/22/2012","Sweet_cherry_CRS_phenotyping_2012"
"314","FR23T116","Prunus avium","6/22/2012","Sweet_cherry_CRS_phenotyping_2012"
"315","FR23T119","Prunus avium","6/25/2011","Sweet_cherry_CRS_phenotyping_2011"
"316","FR23T120","Prunus avium","6/22/2012","Sweet_cherry_CRS_phenotyping_2012"
"317","FR23T120","Prunus avium","6/24/2011","Sweet_cherry_CRS_phenotyping_2011"
"318","FR23T127","Prunus avium","6/22/2012","Sweet_cherry_CRS_phenotyping_2012"
"319","FR23T128","Prunus avium","7/3/2012","Sweet_cherry_CRS_phenotyping_2012"
"320","FR23T129","Prunus avium","7/9/2011","Sweet_cherry_CRS_phenotyping_2011"
"321","FR23T129","Prunus avium","7/9/2012","Sweet_cherry_CRS_phenotyping_2012"
"322","FR23T130","Prunus avium","6/29/2011","Sweet_cherry_CRS_phenotyping_2011"
"323","FR23T130","Prunus avium","7/3/2012","Sweet_cherry_CRS_phenotyping_2012"
"324","FR23T131","Prunus avium","6/22/2012","Sweet_cherry_CRS_phenotyping_2012"
"325","FR23T131","Prunus avium","6/29/2011","Sweet_cherry_CRS_phenotyping_2011"
"326","FR24T069","Prunus avium","6/28/2012","Sweet_cherry_CRS_phenotyping_2012"
"327","FR24T072","Prunus avium","6/28/2012","Sweet_cherry_CRS_phenotyping_2012"
"328","FR24T077","Prunus avium","6/29/2011","Sweet_cherry_CRS_phenotyping_2011"
"329","FR25T081","Prunus avium","6/29/2011","Sweet_cherry_CRS_phenotyping_2011"
"330","FR25T081","Prunus avium","7/1/2012","Sweet_cherry_CRS_phenotyping_2012"
"331","FR25T084","Prunus avium","6/28/2012","Sweet_cherry_CRS_phenotyping_2012"
"332","FR25T086","Prunus avium","7/9/2012","Sweet_cherry_CRS_phenotyping_2012"
"333","FR25T090","Prunus avium","6/29/2011","Sweet_cherry_CRS_phenotyping_2011"
"334","FR25T090","Prunus avium","6/30/2012","Sweet_cherry_CRS_phenotyping_2012"
"335","FR26T030","Prunus avium","6/28/2012","Sweet_cherry_CRS_phenotyping_2012"
"336","FR26T031","Prunus avium","6/29/2012","Sweet_cherry_CRS_phenotyping_2012"
"337","FR26T033","Prunus avium","6/26/2012","Sweet_cherry_CRS_phenotyping_2012"
"338","FR26T033","Prunus avium","7/1/2011","Sweet_cherry_CRS_phenotyping_2011"
"339","FR26T034","Prunus avium","6/26/2012","Sweet_cherry_CRS_phenotyping_2012"
"340","FR26T034","Prunus avium","7/2/2011","Sweet_cherry_CRS_phenotyping_2011"
"341","FR26T036","Prunus avium","6/27/2012","Sweet_cherry_CRS_phenotyping_2012"
"342","FR26T036","Prunus avium","6/29/2011","Sweet_cherry_CRS_phenotyping_2011"
"343","FR26T037","Prunus avium","6/25/2012","Sweet_cherry_CRS_phenotyping_2012"
"344","FR26T037","Prunus avium","6/29/2011","Sweet_cherry_CRS_phenotyping_2011"
"345","FR26T038","Prunus avium","6/26/2012","Sweet_cherry_CRS_phenotyping_2012"
"346","FR26T038","Prunus avium","6/29/2011","Sweet_cherry_CRS_phenotyping_2011"
"347","FR26T040","Prunus avium","6/28/2012","Sweet_cherry_CRS_phenotyping_2012"
"348","FR27T001","Prunus avium","7/1/2012","Sweet_cherry_CRS_phenotyping_2012"
"349","FR27T001","Prunus avium","7/2/2011","Sweet_cherry_CRS_phenotyping_2011"
"350","FR27T006","Prunus avium","7/4/2012","Sweet_cherry_CRS_phenotyping_2012"
"351","FR27T007","Prunus avium","7/6/2012","Sweet_cherry_CRS_phenotyping_2012"
"352","FR27T008","Prunus avium","7/3/2012","Sweet_cherry_CRS_phenotyping_2012"
"353","FR27T009","Prunus avium","6/30/2011","Sweet_cherry_CRS_phenotyping_2011"
"354","FR27T010","Prunus avium","7/5/2012","Sweet_cherry_CRS_phenotyping_2012"
"355","FR27T012","Prunus avium","7/3/2012","Sweet_cherry_CRS_phenotyping_2012"
"356","FR27T012","Prunus avium","7/6/2011","Sweet_cherry_CRS_phenotyping_2011"
"357","FR27T013","Prunus avium","7/3/2012","Sweet_cherry_CRS_phenotyping_2012"
"358","FR27T013","Prunus avium","7/6/2011","Sweet_cherry_CRS_phenotyping_2011"
"359","FR27T014","Prunus avium","7/3/2012","Sweet_cherry_CRS_phenotyping_2012"
